theme,question,qid
Dog,What is the three word Latin name for domesticated dogs?,0
Dog,What is Canis familiaris?,1
Dog,"Along with various behaviors and physical attributes, what were domestic dogs bred for?",2
Dog,What decade had significant studies of dog genes to determine origins?,3
Dog,What is the region where domesticated dogs ancestry traces to?,4
Dog,What type of diet can modern domesticated dogs thrive eating that other dogs cannot?,5
Dog,"What is the most common phrase, or nickname, used by people in the United States to describe dogs in general?",6
Dog,What moniker has been given to dogs in Western cultures?,7
Dog,Dogs are a source of what in some cultures?,8
Dog,"What is the Proto-Germanic word that ""dog"" may have come from?",9
Dog,"What may be the earliest vocabulary that the word ""dog"" came from?",10
Dog,What was the common 14th-century word for dogs for those who spoke English?,11
Dog,What breed was so prolific it became a prototype of hound?,12
Dog,What was the common term for all domesticated dogs in England during the 14th century?,13
Dog,When did the word dog become the common term for canines?,14
Dog,Hound became the term for dogs who did what activity during this time?,15
Dog,What Proto-Indo-European word is hound from?,16
Dog,What are a single birth group of puppies of a dog called collectively?,17
Dog,What is the male who is father of the pups called?,18
Dog,"What is the French word that ""puppy"" comes from?",19
Dog,What is the English word for female dog that has also become profanity?,20
Dog,A male canine is called a dog while a female canine is called a what in reference to breeding?,21
Dog,What is the mother of a litter referred as?,22
Dog,What are the individual litter canines called?,23
Dog,"What is the Latin term for ""dog.?""",24
Dog,What year are dogs first listed in Systema Naturae?,25
Dog,Who published Systema Naturae?,26
Dog,What is the modern single English word for Canis lupus?,27
Dog,What is the Latin word for dog?,28
Dog,"Canis familiaris is the classification for dogs, and is known as what?",29
Dog,Feral dogs have what Latin classification?,30
Dog,What year was Canis familiaris listed under Canis lupus?,31
Dog,"What year was it decided that if wolves and dogs were one species, then their scientific name is the name of the wild variety?",32
Dog,What 2005 publication in its third edition kept to that ruling?,33
Dog,What Latin dog term is still used because wild and domesticated dogs are recognizably different?,34
Dog,What official body recognizes both Canis lupus and Canis familiaris?,35
Dog,Many researchers prefer what term?,36
Dog,What was this decision called?,37
Dog,What indicated dogs and gray wolves developed as two monophyletic clades?,38
Dog,The common relative of dogs and existing wolves is now considered what?,39
Dog,Modern dogs likely began when human beings were considered to be what?,40
Dog,"Due to admixture, what species are many Arctic dogs related to?",41
Dog,"Rather than with agriculturists, dogs seemingly were during the time of who?",42
Dog,Some Arctic breeds are more like what wolf rather than the gray wolf?,43
Dog,What are dog teeth best suited for?,44
Dog,Dogs are considered to be predators and what else?,45
Dog,What bones in dog legs are fused?,46
Dog,A dog's heart and vascular ability if best suited for sprinting and what else?,47
Dog,Dogs originated as predators and what?,48
Dog,Dogs show an extreme range in what two characteristics?,49
Dog,What breed was the largest dog known to have lived?,50
Dog,Which coat is more common with dogs living in colder climates?,51
Dog,"Along with a gruff guard hair, what else makes up the double coat?",52
Dog,What is the more common coat for dogs from colder climates?,53
Dog,"When a dog has a camouflage pattern on its coat, this is called what?",54
Dog,A natural camo pattern is known as what?,55
Dog,What color is on a dogs upper surfaces if it has countershading?,56
Dog,What does a dog communicate with its tail?,57
Dog,"What part of a dog can be straight, curled, or cork-screwed?",58
Dog,What are some dogs prone to?,59
Dog,What are all dogs susceptible to?,60
Dog,Pyometra usually affects what type of female dog?,61
Dog,"What are fleas, ticks and mites called?",62
Dog,What type of nut is poisonous to dogs?,63
Dog,What in tobacco can hurt dogs?,64
Dog,What form of chocolate is especially toxic to dogs?,65
Dog,"Mutts, dogs that have several breed characteristics, live how much longer than purebred dogs?",66
Dog,Do bigger dogs typically have longer or shorter lives?,67
Dog,When was a study done that discovered mixed breeds tend to live longer than pure breeds?,68
Dog,"Typically, how much longer do mixed breeds live?",69
Dog,What is the median lifespan of canines?,70
Dog,What is the canine breed with shortest median lifespan?,71
Dog,What is the median length of life for the canine breed that lives the least amount of years?,72
Dog,What is the average lifespan of an Irish Wolfhound?,73
Dog,What is the average lifespan for a Dogue de Borddeaux?,74
Dog,What is the average length of years of life for canines with long lifespans?,75
Dog,What is the name of the canine that is reported to have lived the longest?,76
Dog,What was the name of the dog who lived to be 29.5 years?,77
Dog,When did Bluey die?,78
Dog,What does going into heat (estrous) prepare a female dog for?,79
Dog,Some larger breeds could take how long to become sexually mature?,80
Dog,What is the average length of dog pregnancy?,81
Dog,"For small dogs, what is the average number of pups in a litter?",82
Dog,What is the average for a dog to bear her litter?,83
Dog,What is the average number of pups per litter?,84
Dog,Smaller dogs tend to have how many pups per litter?,85
